Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Yardea Station,ERF183553,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2023,22/03/2023,21/03/2048,South Australia,5717,"A101/D67746, B1166/H835100, B1255/H835100
 
The project is in the PASTORAL UNINCORPORATED AREA local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183553.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Wilgena and North Well Stations,ERF173230,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,21/03/2023,21/03/2023,20/03/2048,South Australia,5719,"C/6190/393, C/6190/397, C/6190/399, C/6190/400, C/6222/573
 
The project is in the Pastoral Unincorporated Area, PASTORAL UNINCORPORATED AREA local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF173230.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Siam Station,ERF173288,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,23/03/2022,23/03/2022,22/03/2047,South Australia,5717,"C/6200/488, C/1287/8 

The project is in the PASTORAL UNINCORPORATED AREA, Pastoral Unincorporated Area local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173288.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC144816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Lake Everard Station,ERF173217,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2022,22/03/2022,21/03/2047,South Australia,5717,"42/C251769/6183/171 

The project is in the Pastoral Unincorporated Area local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173217.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC480066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Kootaberra Station,ERF173297,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2022,22/03/2022,21/03/2047,South Australia,"5713, 5700","D47682/CQ1/6204/748, D47707/Q1/6204/748, D47707/Q2/6204/748, D47707/Q3/6204/748, D47707/Q4/6204/748, H835200/S492/6204/748, D35235/A2/6204/748, D47682/Q3/6204/748, D47682/Q4/6204/748, H834600/S422/6204/748, D47682/Q2/6204/748 

The project is in the PASTORAL UNINCORPORATED AREA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173297.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC285250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Uno Station,ERF173260,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,17/03/2022,17/03/2022,16/03/2047,South Australia,5717,"814/C835200/1290/4 

The project is in the PASTORAL UNINCORPORATED AREA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173260.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC870277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Nonning Station,ERF173267,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,17/03/2022,17/03/2022,16/03/2047,South Australia,5717,"821/C2328/1298/25 

The project is in the PASTORAL UNINCORPORATED AREA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173267.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC489030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Quondong Station,ERF173216,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,14/03/2022,14/03/2022,13/03/2047,South Australia,5341,"112/C251714/6183/279, 110/251689/6181/578 



The project is in the MID MURRAY COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173216.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,1/4/22,CAC596264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Buckleboo Station,ERF168138,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,1/10/21,1/10/21,30/09/2046,South Australia,5641,"F/6184/319, H/6213/142
 
The project is in the PASTORAL UNINCORPORATED AREA, PASTORAL UNINCORPORATED AREA, District Council of Kimba local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF168138.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,1/10/21,CAC630862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"11/07/2024 Variation of project name - from AI Carbon No.3 EP BS to Buckleboo Station

23/09/2024 Variation to the project area - areas listed in the project have been removed",No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Yudnapinna Station,ERF168128,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,30/09/2021,30/09/2021,29/09/2046,South Australia,5715,"300/FP251308/6176/41

The project is in the PASTORAL UNINCORPORATED AREA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168128.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/10/21,CAC155846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,12/08/2024 Variation of project name - from AI Carbon No 3 EP YS to Yudnapinna Station,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Twin Peaks Station,ERF183541,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2023,22/03/2023,21/03/2048,Western Australia,6630,"11805/DP28259/3074/129, 21/DP28259/3064/491
 
The project is in the SHIRE OF MURCHISON local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183541.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Wagga Wagga Station,ERF179384,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,21/03/2023,21/03/2023,20/03/2048,Western Australia,6635,"109/D238505/3071/907
 
The project is in the SHIRE OF YALGOO local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF179384.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"10/08/2023 Variation to the project area - areas listed in the project have been removed

22/09/2023 Variation to the project area - areas listed in the project have been removed.",No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Prenti Downs Station,ERF173232,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2022,22/03/2022,21/03/2047,Western Australia,6646,"4/D220389/3011/111, 5/D220389/3011/111 

The project is in the SHIRE OF WILUNA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173232.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC343062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON WA NO.2 PTY LTD,n/a,n/a,Milly Milly and Berringarra Station,ERF173225,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,17/03/2022,17/03/2022,16/03/2047,Western Australia,6630,"13/D238330/3064/474, 20/D238058/3064/482, 33/D238058, 29/238330, 216/238330

The project is in the SHIRE OF MURCHISON, Shire of Murchison local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173225.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
