Project_Name,Id,Developer,proponent_country_manual,Registry,Methodology,Sector,Country,Project.Status,Crediting.Period.Start,Crediting.Period.End,Annual.Est..Units,Total.Issued.Units,Total.Retired.Units,Total.Available.Units
GS5047 VPA67 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XII,GS10998,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA90 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVII,GS11025,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA81 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project IX,GS11017,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA91 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVIII,GS11026,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA66 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XI,GS10997,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA47 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project I,GS10740,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
Kikonda Forest Reserve,GS2990,Nile Fibreboard Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Uganda,Registered,,,0,0,0,0
GS5047 VPA82 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project X,GS11018,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA69 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIV,GS11000,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA73 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVIII,GS11004,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
Afforestation on the Big Island of Hawaii: Restoring native hardwood forests and enhancing multiple ecosystem services,GS3260,HLH,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,United States of America,Registered,,,0,0,0,0
GS5047 VPA70 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XV,GS11001,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA74 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIX,GS11005,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA80 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VIII,GS11016,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA79 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VII,GS11015,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA89 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVI,GS11024,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA75 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XX,GS11006,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA71 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVI,GS11002,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA65 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project X,GS10996,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA51 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project II,GS10827,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA49 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project III,GS10742,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA58 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project VI,GS10986,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
GS5047 VPA93 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XX,GS11028,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA54 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project II,GS10965,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
GS5047 VPA68 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIII,GS10999,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA83 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XI,GS11019,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA87 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XV,GS11023,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA55 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project III,GS10966,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
GS5047 VPA86 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIV,GS11022,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA72 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVII,GS11003,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA64 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project IX,GS10995,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
Solar for Forest,GS3305,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,,Gold Standard,CDM - AMS-I.D.,Energy Demand,Turkey,Registered,,,0,0,0,0
"Conserving the Mulanje Mountains, Malawi - Saving forests and empowering mountain communities with improved cookstoves",GS7142,Swiss Carbon Value Ltd.,,Gold Standard,GS - OTHER,Energy Demand,Malawi,Registered,,,0,0,0,0
GS5047 VPA85 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIII,GS11021,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA53 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project I,GS10964,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Listed,,,0,0,0,0
GS5047 VPA77 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project V,GS11013,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA59 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project IV,GS10990,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
GS5047 VPA78 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VI,GS11014,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
"Forest, Trees and Sustainable Livelihoods",GS11857,Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA),,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,India,Listed,,,0,0,0,0
GS5047 VPA52 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project III,GS10828,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
Sustainable Forest Plantations Leon,GS4544,Fundacion DIA,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Nicaragua,Registered,,,0,0,0,0
BaumInvest Forest Landscape Restoration Programme,GS11707,BaumInvest AG,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Costa Rica,Registered,,,0,0,0,0
GS5047 VPA60 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project V,GS10991,Likano Project Development GmbH,,Gold Standard,GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC),Energy Demand,Rwanda,Registered,,,0,0,0,0
WithOneSeed Timor Leste Community Forestry Program,GS4210,xPand Foundation,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Timor-Leste,Registered,,,0,0,0,0
Rai Matak Covalima Community Forestry Program,GS11743,xPand Foundation,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Timor-Leste,Listed,,,0,0,0,0
Aprosacao Reforestation Project: community reforestation and agroforestry with small-scale cocoa farmers in Honduras.,GS5012,Unknown Project Developer,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Honduras,Registered,,,0,0,0,0
ArboRise Participative Reforestation in  Upper Guinea,GS12203,South Pole Carbon Asset Management Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Guinea,Listed,,,0,0,0,0
Panama Tropical Reforestation,GS11899,"Panama Reforestation Services, S.A.",,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Panama,Listed,,,0,0,0,0
"Nature Conservation Reforestation project - Caatinga Biome, Ceara",GS11648,CO2logic,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Brazil,Registered,,,0,0,0,0
BaumInvest Flor Morado Reforestation Project Veraneo,GS12186,BaumInvest AG,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Colombia,Registered,,,0,0,0,0
Reforestation Project in Costa Rica 01,GS11708,BaumInvest AG,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Costa Rica,Registered,,,0,0,0,0
San Pablo del Lago reforestation project,GS7607,South Pole Carbon Asset Management Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Ecuador,Registered,,,0,0,0,0
Reforestation Sierra Piura,GS3381,Claudia Vasquez,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Peru,Registered,,,0,0,0,0
Vichada Climate Reforestation Project (PAZ),GS4221,Forest Finest Colombia,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Colombia,Registered,,,0,0,0,0
BaumInvest Reforestation Project,GS2913,BaumInvest AG,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Costa Rica,Registered,,,0,0,0,0
Lake Naivasha Basin Reforestation Project,GS6504,Swiss Carbon Value Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Kenya,Registered,,,0,0,0,0
Bagepalli CDM Reforestation Programme,GS4240,Agricultural Development and Training Society,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,India,Registered,,,0,0,0,0
Reforestation Program in the Southeastern Region of Nicaragua on degraded pastureland,GS4220,Across Forest,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Nicaragua,Registered,,,0,0,0,0
"Conservation and reforestation of degraded areas in Barbosa, Colombia",GS3025,Deactivated Projects,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Colombia,Registered,,,0,0,0,0
EcoMakala Virunga Reforestation project,GS5618,CO2logic,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Democratic Republic of Congo,Registered,,,0,0,0,0
Reforestation in Mountanous Communities of Yunnan,GS2466,Initiative Developpement,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,China,Registered,,,0,0,0,0
Chestnut Sustainable Restoration Project,GS12135,"Chestnut Carbon, LLC",,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,United States of America,Registered,,,0,0,0,0
Bulindi Chimpanzee Habitat Restoration Project,GS12226,DutchGreen Project Management B.V.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Forestry,Uganda,Listed,,,0,0,0,0
Himalayan Oak Restoration Project,GS5993,Value Network Venture Advisory Services Pte. Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,India,Registered,,,0,0,0,0
"Vegachi, ecological restoration of degraded lands",GS3565,Swiss Carbon Value Ltd.,,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Colombia,Registered,,,0,0,0,0
SEKEM tree project,GS4894,SEKEM for Land Reclamation (SLR),,Gold Standard,GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY,Afforestation,Egypt,Registered,,,0,0,0,0
"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael",1403,Swire Pacific Offshore Operations (Pte) Ltd. (SPO),,Verra,VM0007,Agriculture; forestry and fishing,Paraguay,Registered,,,0,6553,0,6553
Redd Forests Grouped Project: Protection of Tasmanian Native Forest,641,Not specified,,Verra,VM0010,Agriculture; forestry and fishing,Australia,Registered,,,0,395779,393697,2082
The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,953,Swire Pacific Offshore Operations (Pte) Ltd. (SPO),,Verra,VM0007,Agriculture; forestry and fishing,Paraguay,Registered,,,0,89998,0,89998
Restoration of burned-out forests through the carbon-sequestration plantation in forest-steppe zone,5127,Not specified,,Verra,VM0047,Agriculture; forestry and fishing,--,Listed,,,0,0,0,0
RIWNE OBLAST FOREST PRESERVATION PROJECT (Conversion of logged to protected forest),4489,Denmak TOV,,Verra,VM0010,Agriculture; forestry and fishing,Ukraine,Listed,,,0,0,0,0
"IMPROVED FOREST MANAGEMENT THROUGH LOGGED-TO-PROTECTED FORESTS AND REDUCED IMPACT LOGGING IN UFA NGOMBÉ, REPUBLIC OF CONGO",2765,Interholco AG,,Verra,VM0010,Agriculture; forestry and fishing,Congo,Listed,,,0,0,0,0
"The Juma Sustainable Development Reserve Project: Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation plus forest management in the State of Amazonas, Brazil",1596,Fundação Amazonas Sustentável - FAS,,Verra,VM0015,Agriculture; forestry and fishing,Brazil,Listed,,,0,0,0,0
Afforestation and restoration of degraded forests in Eastern Paraguay or Forestal Azul Carbon Project,2469,Forestal Azul S.A.,,Verra,AR-ACM0003,Agriculture; forestry and fishing,Paraguay,Registered,,,0,115496,73837,41659
BOSQUES CAUTIN S.A. FOREST CARBON PROJECT CONVERSION OF LOGGED TO PROTECTED FOREST PROJECT,3734,Bosques Cautin S.A.,,Verra,VM0010,Agriculture; forestry and fishing,Chile,Listed,,,0,0,0,0
Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,605,Not specified,,Verra,VM0010,Agriculture; forestry and fishing,Australia,Registered,,,0,20384,20384,0
CCB - VCS Project ID 15 dec 2023 – Bosques Cautin S.A. Forest Carbon Project II,5273,Bosques Cautin S.A.,,Verra,VCS-VM0010,Agriculture; forestry and fishing,Chile,Listed,,,0,0,0,0
"Agroforestry and forest restoration for ecological connectivity, poverty reduction and biodiversity conservation in Cerro San Gil, Caribbean Guatemala",1558,Livelihoods Fund SICAV SIF,,Verra,AR-ACM0003,Agriculture; forestry and fishing,Guatemala,Registered,,,0,278197,122490,155707
Legacy Forest Climate Initiative,4660,PotlatchDeltic Corporation,,Verra,VM0010,Agriculture; forestry and fishing,United States of America,Listed,,,0,0,0,0
Rio Cautario Forest Conservation Project,4581,Permian Brasil Serviços Ambientais LTDA,,Verra,VCS-VM0007,Agriculture; forestry and fishing,Brazil,Listed,,,0,0,0,0
Suruí Forest Carbon Project,1118,Metareilá Association of the Suruí Indigenous P'pl,,Verra,VM0015,Agriculture; forestry and fishing,Brazil,Registered,,,0,251529,251529,0
Afognak Forest Carbon Project,872,ClimeCo LLC,,Verra,VM0012,Agriculture; forestry and fishing,United States of America,Listed,,,0,1363465,1016283,347182
Chongqing Pengshui IFM (conversion of logged to protected forest) Project,2721,Chongqing Fuguan Investment Co.,,Verra,VM0010,Agriculture; forestry and fishing,China,Listed,,,0,0,0,0
King County Rural Forest Carbon Project,1911,King County Department of Natural Resources,,Verra,VM0012,Agriculture; forestry and fishing,United States of America,Registered,,,0,96621,61861,34760
Sichuan Santai Improved Forest Management Project,3387,Santai Shengda Development Co. LTD,,Verra,VM0010,Agriculture; forestry and fishing,China,Listed,,,0,0,0,0
Protection of high conservation value forests by Terneyles Group,1544,JSC Terneyles,,Verra,VM0010,Agriculture; forestry and fishing,--,Listed,,,0,0,0,0
Inner Mongolia Wu‘erqihan IFM (conversion of logged to protected forest) Project,1715,Not specified,,Verra,VM0010,Agriculture; forestry and fishing,China,Registered,,,0,1232744,388728,844016
CATALYZING COMMUNITY RESILIENCE  THROUGH CARBON FINANCE IN  ETHIOPIAN AFROMONTANE FORESTS,5191,Not specified,,Verra,VM0047,Agriculture; forestry and fishing,Ethiopia,Listed,,,0,0,0,0
"Conservation, Restoration and Sustainable Management of Classified Forests in Côte d’Ivoire (CRCF)",4329,Not specified,,Verra,VCS-VM0007,Agriculture; forestry and fishing,--,Listed,,,0,0,0,0
REDD+ Tauari Forest Conservation Project,4461,Not specified,,Verra,VM0007,Agriculture; forestry and fishing,Brazil,Listed,,,0,0,0,0
Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon,4913,S2 Services,,Verra,VM0047,Agriculture; forestry and fishing,Cameroon,Listed,,,0,0,0,0
Inner Mongolia Keyihe IFM (conversion of logged to protected forest) Project,1718,Inner Mongolia Keyihe Forest Industry LLC.,,Verra,VM0010,Agriculture; forestry and fishing,China,Registered,,,0,1814512,697979,1116533
Sichuan Yanting IFM (conversion of logged to protected forest) Project,2724,Yanting Agricultural Tourism Investment Management Co.,,Verra,VM0010,Agriculture; forestry and fishing,China,Listed,,,0,0,0,0
Boden Creek Ecological Preserve Forest Carbon Project,647,Boden Creek Ecological Preserve,,Verra,VM0007,Agriculture; forestry and fishing,Belize,Registered,,,0,194009,188302,5707
Shaanxi Ningshan IFM (convesion of logging to protected forest) Project,4691,Shenzhen Nanniwan Industrial Investment Co.,,Verra,VCS-ACM0010,Agriculture; forestry and fishing,China,Listed,,,0,0,0,0
Fujian Qingliu IFM (conversion of logged to protected forest) Project,2606,Fujian Qingliu Forestry Co.,,Verra,VM0010,Agriculture; forestry and fishing,China,Registered,,,0,474600,72969,401631
